genome_id	genus	species	source_type
LABG_000450	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000451	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000452	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000453	Ligilactobacillus	Ligilactobacillus animalis	animal
LABG_000454	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000455	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000456	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000457	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000458	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000459	Weissella	Weissella thailandensis	animal
LABG_000460	Limosilactobacillus		animal
LABG_000461	Ligilactobacillus	Ligilactobacillus agilis	animal
LABG_000462	Ligilactobacillus	Ligilactobacillus faecis	animal
LABG_000463	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000464	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000465	Ligilactobacillus	Ligilactobacillus faecis	animal
LABG_000466	Limosilactobacillus		animal
LABG_000467	Limosilactobacillus		animal
LABG_000468	Ligilactobacillus	Ligilactobacillus animalis	animal
LABG_000469	Ligilactobacillus	Ligilactobacillus faecis	animal
LABG_000470	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000471	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000472	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000473	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000474	Ligilactobacillus	Ligilactobacillus agilis	animal
LABG_000475	Limosilactobacillus	Limosilactobacillus mucosae	animal
LABG_000476	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000477	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000478	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000479	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000480	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000481	Limosilactobacillus		animal
LABG_000482	Limosilactobacillus	Limosilactobacillus mucosae	animal
LABG_000483	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000484	Ligilactobacillus	Ligilactobacillus animalis	animal
LABG_000485	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000486	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000487	Weissella	Weissella paramesenteroides	animal
LABG_000488	Lapidilactobacillus	Lapidilactobacillus dextrinicus	animal
LABG_000489	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000490	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000491	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000492	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000493	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000494	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000495	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000496	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000497	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000498	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000499	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000500	Limosilactobacillus		animal
LABG_000501	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000502	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000503	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000504	Lactobacillus	Lactobacillus sp945980025	animal
LABG_000505	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000506	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000507	Limosilactobacillus	Limosilactobacillus mucosae	animal
LABG_000508	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000509	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000510	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000511	Weissella	Weissella paramesenteroides	animal
LABG_000512	Limosilactobacillus	Limosilactobacillus mucosae	animal
LABG_000513	Ligilactobacillus	Ligilactobacillus animalis	animal
LABG_000514	Lactobacillus	Lactobacillus sp910589675	animal
LABG_000515	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000516	Limosilactobacillus	Limosilactobacillus reuteri_I	animal
LABG_000517	Ligilactobacillus	Ligilactobacillus animalis	animal
LABG_000518	Pediococcus	Pediococcus pentosaceus	animal
LABG_000519	Weissella	Weissella paramesenteroides	animal
LABG_000520	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000521	Limosilactobacillus	Limosilactobacillus reuteri	animal
LABG_000522	Limosilactobacillus	Limosilactobacillus mucosae	animal
LABG_000523	Limosilactobacillus	Limosilactobacillus reuteri_J	animal
LABG_000524	Limosilactobacillus	Limosilactobacillus reuteri_J	animal
LABG_000525	Limosilactobacillus	Limosilactobacillus intestinavium	animal
LABG_000526	Limosilactobacillus	Limosilactobacillus mucosae	animal
LABG_000527	Limosilactobacillus	Limosilactobacillus mucosae	animal
LABG_000528	Lactobacillus	Lactobacillus amylovorus	animal
LABG_000529	Ligilactobacillus	Ligilactobacillus ruminis	animal
LABG_000530	Ligilactobacillus	Ligilactobacillus ruminis	animal
LABG_000531	Lacticaseibacillus	Lacticaseibacillus rhamnosus	human
LABG_000532	Lactobacillus	Lactobacillus paragasseri	human
LABG_000533	Lacticaseibacillus	Lacticaseibacillus paracasei	human
LABG_000534	Limosilactobacillus	Limosilactobacillus fermentum	human
