genus	species	source_type	ARG_negative_n	ARG_positive_n	source_n	ARG_positive_rate	fdr	significant	max_rate_difference
Limosilactobacillus	Limosilactobacillus reuteri_J	animal	12	7	19	0.3684210526315789	0.011828902072804515	TRUE	0.3684210526315789
Limosilactobacillus	Limosilactobacillus reuteri_J	other	22	0	22	0	0.011828902072804515	TRUE	0.3684210526315789
Limosilactobacillus	Limosilactobacillus rodentium	animal	87	1	88	0.011363636363636364	0.8135593220338777	FALSE	0.011363636363636364
Limosilactobacillus	Limosilactobacillus rodentium	food	8	0	8	0	0.8135593220338777	FALSE	0.011363636363636364
Limosilactobacillus	Limosilactobacillus rodentium	other	199	0	199	0	0.8135593220338777	FALSE	0.011363636363636364
Limosilactobacillus	Limosilactobacillus sp011958095	animal	42	2	44	0.045454545454545456	1	FALSE	0.045454545454545456
Limosilactobacillus	Limosilactobacillus sp011958095	human	10	0	10	0	1	FALSE	0.045454545454545456
Limosilactobacillus	Limosilactobacillus sp011958095	other	77	1	78	0.01282051282051282	1	FALSE	0.045454545454545456
Limosilactobacillus	Limosilactobacillus timonensis	animal	8	0	8	0	1	FALSE	0
Limosilactobacillus	Limosilactobacillus timonensis	food	6	0	6	0	1	FALSE	0
Limosilactobacillus	Limosilactobacillus urinaemulieris	food	5	0	5	0	1	FALSE	0
Limosilactobacillus	Limosilactobacillus urinaemulieris	other	6	0	6	0	1	FALSE	0
Limosilactobacillus	Limosilactobacillus vaginalis	animal	115	24	139	0.17266187050359713	0.004136824009632806	TRUE	0.17266187050359713
Limosilactobacillus	Limosilactobacillus vaginalis	human	71	1	72	0.013888888888888888	0.004136824009632806	TRUE	0.17266187050359713
Limosilactobacillus	Limosilactobacillus vaginalis	other	10	0	10	0	0.004136824009632806	TRUE	0.17266187050359713
Liquorilactobacillus	Liquorilactobacillus satsumensis	food	230	0	230	0	1	FALSE	0
Liquorilactobacillus	Liquorilactobacillus satsumensis	other	7	0	7	0	1	FALSE	0
Loigolactobacillus	Loigolactobacillus coryniformis	animal	4	2	6	0.3333333333333333	0.14940261183662318	FALSE	0.3333333333333333
Loigolactobacillus	Loigolactobacillus coryniformis	human	5	0	5	0	0.14940261183662318	FALSE	0.3333333333333333
Loigolactobacillus	Loigolactobacillus coryniformis	food	49	1	50	0.02	0.14940261183662318	FALSE	0.3333333333333333
Oenococcus	Oenococcus oeni	food	334	0	334	0	0.13937955761224952	FALSE	0.018518518518518517
Oenococcus	Oenococcus oeni	other	159	3	162	0.018518518518518517	0.13937955761224952	FALSE	0.018518518518518517
Pediococcus	Pediococcus acidilactici	animal	23	6	29	0.20689655172413793	7.147571066546777e-7	TRUE	0.20684210526315788
Pediococcus	Pediococcus acidilactici	human	150	2	152	0.013157894736842105	7.147571066546777e-7	TRUE	0.20684210526315788
Pediococcus	Pediococcus acidilactici	food	204	6	210	0.02857142857142857	7.147571066546777e-7	TRUE	0.20684210526315788
Pediococcus	Pediococcus acidilactici	other	39	11	50	0.22	7.147571066546777e-7	TRUE	0.20684210526315788
Pediococcus	Pediococcus parvulus	food	25	0	25	0	1	FALSE	0
Pediococcus	Pediococcus parvulus	other	11	0	11	0	1	FALSE	0
